#,ประชาธิปัตย์:150,พลังประชารัฐ:150,อนาคตใหม่:150,ประชาชาติ:150,ภูมิใจไทย:150,เสรีรวมไทย:150,รวมพลังประชาชาติไทย:150,แทนคุณแผ่นดิน:150,เศรษฐกิจใหม่:150,ชาติไทยพัฒนา:150,เพื่อชาติ:150,กรีน:150,ประชาธิปไตยใหม่:150,พลังไทยรักไทย:150,ประชาภิวัฒน์:150,พลังสังคม:150,รักษ์ผืนป่าประเทศไทย:150,ความหวังใหม่:150,พลังชาติไทย:150,ภราดรภาพ:150,ถิ่นกาขาวชาววิไล:150,พลังไทยรักชาติ:150,พลังท้องถิ่นไท:150,ไทยศรีวิไลย์:150,พลังธรรมใหม่:150,ชาติพัฒนา:150,ประชานิยม:150,ไทรักธรรม:150,คลองไทย:150,ครูไทยเพื่อประชาชน:150,เพื่อแผ่นดิน:150,ประชาชนปฏิรูป:150,ไทยรักษาชาติ:150,เพื่อไทย:150,พลังศรัทธา:150,แผ่นดินธรรม:150,ทางเลือกใหม่:150,ประชาธรรมไทย:150,พลังไทสร้างชาติ:150,มหาชน:150,ภาคเครือข่ายไทย:150,มติประชา:150,พลังประชาธิปไตย:150,สามัญชน:150,กลาง:150,ประชากรไทย:150,พลังรัก:150,พลเมืองไทย:150,ชาติพันธุ์ไทย:150,พลังปวงชนไทย:150,ประชาไทย:150,เพื่อนไทย:150,สยามพัฒนา:150,อนาคตไทย:150,ไทยรุ่งเรือง:150,เครือข่ายชาวนาแห่งประเทศไทย:150,เพื่อชีวิตใหม่:150,ภูมิพลังเกษตรกรไทย:150,เพื่อคนไทย:150,ฐานรากไทย:150,ไทยธรรม:150,ผงึ้ หลวง:150,เพอื่ สหกรณ์ไทย:150,เพื่อไทยพัฒนา:150,พลังครูไทย:150,ประชาธิปไตยเพื่อประชาชน:150,รวมใจไทย:150,รักท้องถิ่นไทย:150,พลังไทยดี:150,สังคมประชาธิปไตยไทย:150,พลังแรงงานไทย:150,เพื่อธรรม:150,รักษ์ธรรม:150,พลังแผ่นดินทอง:150,ยางพาราไทย:150,พลังสหกรณ์:150,คนธรรมดาแห่งประเทศไทย:150,พัฒนาประเทศไทย:150,คนงานไทย:150,พลังคนกีฬา:150,กสิกรไทย:150
ตาก-2,32929,17164,18314,1603,343,2116,445,96,0,366,946,1012,0,451,167,0,149,0,150,0,0,0,641,0,0,0,467,56,0,191,187,73,0,0,0,0,0,171,0,0,0,0,0,0,0,0,96,588,0,169,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,322,0,0,0,41,0,0,0,0,0,0,0
ตาก-3,13238,20784,9916,0,3047,2072,160,704,580,316,4389,0,0,252,1444,0,237,0,238,0,0,0,283,0,0,0,498,110,0,202,181,131,0,19244,0,0,0,721,0,0,0,0,0,0,0,0,109,292,0,253,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
นครนายก-1,17066,35005,21038,1134,1151,3439,320,0,1912,0,569,0,1057,0,240,0,815,0,265,0,0,0,1707,0,0,519,362,0,0,215,249,0,0,60943,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
นครปฐม-1,35762,20355,35615,0,1450,4065,459,0,0,2030,1425,0,0,0,316,0,307,0,161,0,0,140,135,606,0,664,427,0,0,275,0,157,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
นครปฐม-2,6522,8692,24763,0,8933,3332,2815,0,1672,30215,734,0,0,0,84,29,22634,0,397,0,0,122,258,390,0,227,189,0,0,86,0,99,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,73,0,0,73,0,0,0,145,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
นครปฐม-3,6693,23441,40661,0,1244,8919,1491,0,1863,12258,3023,0,0,0,247,81,393,0,264,0,0,257,594,610,0,919,342,0,0,261,0,187,0,0,0,0,335,0,0,182,0,0,0,0,0,0,0,0,0,0,134,0,0,0,92,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
นครปฐม-4,8613,32110,29998,0,1029,4286,1214,0,2042,22533,2557,0,0,0,204,94,216,0,412,0,0,504,316,371,0,747,510,160,0,172,0,122,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
นครปฐม-5,18970,18741,34164,0,1178,6010,614,0,3113,12279,2813,0,0,0,397,121,341,0,779,0,0,180,192,394,0,342,449,0,0,137,0,168,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,343,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
นครพนม-1,434,6799,7354,128,48719,1202,89,0,198,90,1538,0,116,59,206,0,462,0,178,0,0,0,130,299,138,263,67,97,0,0,0,70,0,21049,0,0,0,47,0,0,0,0,206,0,0,0,0,23,0,260,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
นครพนม-2,817,22688,11229,0,2251,2011,67,0,570,555,642,0,47,77,47,0,207,0,0,0,0,0,97,219,50,61,403,323,0,82,15,90,0,42990,0,58,0,61,0,0,0,0,81,0,0,0,0,725,0,191,0,0,0,0,0,0,0,0,2281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
